L,N,dx,b,sample,delta,pin_height,area,radius,wrap
12.0,48,0.25,1.2,68,0.25,1.45,12.8125,5.482928049865327,0.0
12.0,48,0.25,1.2,69,0.25,1.45,7.0625,3.48209706929603,0.0
12.0,48,0.25,1.2,70,0.25,1.45,6.875,3.132491021535417,0.0
12.0,48,0.25,1.2,71,0.25,1.45,9.1875,3.640054944640259,0.0
12.0,48,0.25,1.2,72,0.25,1.45,1.125,0.9013878188659973,0.0
12.0,48,0.25,1.2,73,0.25,1.45,21.25,7.211102550927978,0.0
12.0,48,0.25,1.2,74,0.25,1.45,4.5625,2.7950849718747373,0.0
12.0,48,0.25,1.2,75,0.25,1.45,1.375,1.118033988749895,0.0
12.0,48,0.25,1.2,76,0.25,1.45,1.75,1.25,0.0
12.0,48,0.25,1.2,77,0.25,1.45,1.25,1.0307764064044151,0.0
12.0,48,0.25,1.2,78,0.25,1.45,4.6875,3.400367627183861,0.0
12.0,48,0.25,1.2,79,0.25,1.45,1.3125,1.25,0.0
12.0,48,0.25,1.2,80,0.25,1.45,9.0,4.272001872658765,0.0
12.0,48,0.25,1.2,81,0.25,1.45,7.1875,4.16082924427331,0.0
12.0,48,0.25,1.2,82,0.25,1.45,2.75,1.6770509831248424,0.0
12.0,48,0.25,1.2,83,0.25,1.45,1.125,1.0307764064044151,0.0
12.0,48,0.25,1.2,84,0.25,1.45,13.375,5.024937810560445,0.0
12.0,48,0.25,1.2,85,0.25,1.45,7.6875,2.7950849718747373,0.0
12.0,48,0.25,1.2,86,0.25,1.45,5.125,3.7165171868296265,0.0
12.0,48,0.25,1.2,87,0.25,1.45,0.8125,0.5590169943749475,0.0
12.0,48,0.25,1.2,88,0.25,1.45,2.125,1.5811388300841898,0.0
12.0,48,0.25,1.2,89,0.25,1.45,1.3125,1.25,0.0
12.0,48,0.25,1.2,90,0.25,1.45,2.4375,1.9525624189766635,0.0
12.0,48,0.25,1.2,91,0.25,1.45,15.3125,6.5,0.0
12.0,48,0.25,1.2,92,0.25,1.45,2.0,1.5206906325745548,0.0
12.0,48,0.25,1.2,93,0.25,1.45,5.125,2.3717082451262845,0.0
12.0,48,0.25,1.2,94,0.25,1.45,9.5,5.220153254455275,0.0
12.0,48,0.25,1.2,95,0.25,1.45,11.75,3.8078865529319543,0.0
12.0,48,0.25,1.2,96,0.25,1.45,3.0,2.5,0.0
12.0,48,0.25,1.2,97,0.25,1.45,12.625,4.315669125408017,0.0
12.0,48,0.25,1.2,98,0.25,1.45,4.125,2.9154759474226504,0.0
12.0,48,0.25,1.2,99,0.25,1.45,16.5,5.618051263561058,0.0
12.0,48,0.25,1.2,100,0.25,1.45,5.625,4.038873605350878,0.0
12.0,48,0.25,1.2,101,0.25,1.45,5.3125,3.1622776601683795,0.0
12.0,48,0.25,1.2,102,0.25,1.45,7.0,2.692582403567252,0.0
12.0,48,0.25,1.2,103,0.25,1.45,1.8125,1.346291201783626,0.0
12.0,48,0.25,1.2,104,0.25,1.45,2.375,1.4577379737113252,0.0
12.0,48,0.25,1.2,105,0.25,1.45,10.375,4.138236339311712,0.0
12.0,48,0.25,1.2,106,0.25,1.45,1.1875,0.7905694150420949,0.0
12.0,48,0.25,1.2,107,0.25,1.45,16.5625,6.082762530298219,0.0
12.0,48,0.25,1.2,108,0.25,1.45,5.9375,3.905124837953327,0.0
12.0,48,0.25,1.2,109,0.25,1.45,6.25,3.020761493398643,0.0
12.0,48,0.25,1.2,110,0.25,1.45,13.1875,6.128825336065631,0.0
12.0,48,0.25,1.2,111,0.25,1.45,2.25,1.5811388300841898,0.0
12.0,48,0.25,1.2,112,0.25,1.45,2.1875,1.6770509831248424,0.0
12.0,48,0.25,1.2,113,0.25,1.45,21.875,5.814851674806504,0.0
12.0,48,0.25,1.2,114,0.25,1.45,4.625,2.5495097567963922,0.0
12.0,48,0.25,1.2,115,0.25,1.45,5.375,3.3541019662496847,0.0
12.0,48,0.25,1.2,116,0.25,1.45,12.8125,3.783186487605389,0.0
12.0,48,0.25,1.2,117,0.25,1.45,3.25,1.7677669529663689,0.0
12.0,48,0.25,1.2,118,0.25,1.45,2.9375,2.0155644370746373,0.0
12.0,48,0.25,1.2,119,0.25,1.45,8.25,2.850438562747845,0.0
12.0,48,0.25,1.2,120,0.25,1.45,41.9375,8.48528137423857,0.0
12.0,48,0.25,1.2,121,0.25,1.45,3.375,1.9039432764659772,0.0
12.0,48,0.25,1.2,122,0.25,1.45,5.875,3.010398644698074,0.0
12.0,48,0.25,1.2,123,0.25,1.45,3.75,2.462214450449026,0.0
12.0,48,0.25,1.2,124,0.25,1.45,3.5,2.850438562747845,0.0
