=== mutation_driver.py -- executable falsifier harness (K3-W7) ===
M1_pristine_accept       exit=0 expected=PASS  OK (accepted)
M2_total_above_gate      exit=1 expected=FAIL  OK (rejected)
M3_gate_shrunk           exit=1 expected=FAIL  OK (rejected)
M4_station_v_corrupt     exit=1 expected=FAIL  OK (rejected)
M5_station_dropped       exit=1 expected=FAIL  OK (rejected)
M6_sum_inconsistent      exit=1 expected=FAIL  OK (rejected)
M7_rice_corrupt          exit=1 expected=FAIL  OK (rejected)
M8_closes_flipped        exit=1 expected=FAIL  OK (rejected)
M9_truncated             exit=1 expected=FAIL  OK (rejected)
MUTATION_DRIVER_PASS
